date,date_dt,yy,mm,method,gross_ret,turnover_raw,turnover,turnover_portfolio,turnover_stock,cost,net_ret,wealth_gross,wealth_net,drawdown_net
20111230,2012-12-31,2012,12,AP-Trees static + stock-level TC (lagged trade),-0.01770962684665425,0.0,0.29413495255659017,0.0,0.29413495255659017,0.0007353373813914754,-0.018444964228045726,19.768769615795673,16.328040296053167,-0.2670209286884214
20120131,2013-01-31,2013,1,AP-Trees static + stock-level TC (lagged trade),0.14835992417981184,0.0,0.2510703108811573,0.0,0.2510703108811573,0.0006276757772028933,0.14773224840260896,22.70166277712329,18.740218400997502,-0.15873628245150562
20120229,2013-02-28,2013,2,AP-Trees static + stock-level TC (lagged trade),0.0483579792468085,0.0,0.2799255145379775,0.0,0.2799255145379775,0.0006998137863449437,0.04765816546046356,23.799469314567464,19.633342830317464,-0.11864319700469494
20120330,2013-03-31,2013,3,AP-Trees static + stock-level TC (lagged trade),0.042626156932433226,0.0,0.2849116675251003,0.0,0.2849116675251003,0.0007122791688127507,0.041913877763620475,24.813949228478847,20.456252361798647,-0.08170211569781427
20120430,2013-04-30,2013,4,AP-Trees static + stock-level TC (lagged trade),-0.0011700632921529375,0.0,0.2631548678296639,0.0,0.2631548678296639,0.0006578871695741597,-0.0018279504617270972,24.784915337353258,20.41885934584869,-0.08338071873942743
20120531,2013-05-31,2013,5,AP-Trees static + stock-level TC (lagged trade),-0.06881464191055789,0.0,0.2705620280017268,0.0,0.2705620280017268,0.000676405070004317,-0.0694910469805622,23.0793502636298,18.999931431756828,-0.1470775522767951
20120629,2013-06-30,2013,6,AP-Trees static + stock-level TC (lagged trade),0.010445254169990264,0.0,0.24766732490613727,0.0,0.24766732490613727,0.0006191683122653432,0.00982608585772492,23.320419943211643,19.186626389296155,-0.138696663075486
20120731,2013-07-31,2013,7,AP-Trees static + stock-level TC (lagged trade),-0.0046402809924393435,0.0,0.27495203133143176,0.0,0.27495203133143176,0.0006873800783285794,-0.005327661070767923,23.212206641813456,19.084406546802533,-0.1432853953337413
20120831,2013-08-31,2013,8,AP-Trees static + stock-level TC (lagged trade),0.015213802155386333,0.0,0.3382034651203889,0.0,0.3382034651203889,0.0008455086628009722,0.01436829349258536,23.56535256125195,19.358616901198808,-0.13097586845451226
20120928,2013-09-30,2013,9,AP-Trees static + stock-level TC (lagged trade),0.0456342388551285,0.0,0.2611786760374479,0.0,0.2611786760374479,0.0006529466900936197,0.04498129216503488,24.640739488737434,20.229392503942613,-0.09188604009499901
20121031,2013-10-31,2013,10,AP-Trees static + stock-level TC (lagged trade),-0.009103846781587472,0.0,0.24556205880692272,0.0,0.24556205880692272,0.0006139051470173068,-0.00971775192860478,24.416413971846957,20.032808285922922,-0.10071086628025872
